City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Portland,US,77.63,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
10,Koroni,GR,82.08,clear sky,36.8,21.95,Apartments Xenios Zeus 1
17,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
23,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
30,Dhule,IN,76.64,overcast clouds,20.9,74.7833,Hotel Dwarkamai
32,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Rive-De-Gier,FR,78.73,broken clouds,45.5307,4.6213,B&B Ebeniste
37,Hithadhoo,MV,81.72,overcast clouds,-0.6,73.0833,Scoop Guest House
38,Melenci,RS,76.73,clear sky,45.5139,20.3172,Motel Lipov Cvet
55,Araripina,BR,75.47,overcast clouds,-7.5761,-40.4983,Hotel Eco Recanto da Serra
56,Bajil,YE,88.84,clear sky,15.0584,43.2851,فندق حضرموت
62,Butaritari,KI,80.67,light rain,3.0707,172.7902,Isles Sunset Lodge
63,North Bend,US,77.23,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
65,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
66,Bubaque,GW,78.01,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
70,Kathu,TH,85.75,light rain,7.9178,98.3332,Novotel Phuket Resort
71,Tura,IN,75.04,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
72,Kirakira,SB,79.9,broken clouds,-10.4544,161.9205,SanBiz Lodge
73,Sokoni,TZ,75.36,clear sky,-6.4333,39.55,Ujamaa Beach Resort
76,Jamestown,US,85.95,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
78,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
82,Tiquisio,CO,82.0,overcast clouds,8.5597,-74.2669,Luis Florez
92,Porto Novo,BJ,75.65,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
94,Katsuura,JP,78.3,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
96,Sao Felix Do Xingu,BR,79.02,clear sky,-6.6447,-51.995,Rio Xingu Camping
98,Ugoofaaru,MV,81.59,overcast clouds,5.6667,73.0,Ungoofaaru Inn
105,Atuona,PF,77.67,clear sky,-9.8,-139.0333,Villa Enata
106,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
110,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
115,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
117,Torbay,CA,81.37,broken clouds,47.6666,-52.7314,Gallows Cove
118,Nouadhibou,MR,76.98,scattered clouds,20.931,-17.0347,El Medina
119,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
127,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
134,Victoria,HK,86.38,broken clouds,22.2855,114.1577,Mini Central
137,Totness,SR,79.36,clear sky,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
138,Kavieng,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
142,Sao Filipe,CV,75.42,overcast clouds,14.8961,-24.4956,Hotel Xaguate
143,Black River,JM,87.62,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
145,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
146,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
147,Shaunavon,CA,76.78,broken clouds,49.6501,-108.4181,Bear's Den Lodge
153,Bengkulu,ID,75.04,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
154,Disraeli,CA,81.21,clear sky,45.9001,-71.3491,Auberge De La Chanterelle
157,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
159,Port Moresby,PG,76.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
161,Chamalieres,FR,79.52,broken clouds,45.7756,3.0631,Best Western Plus Hotel Literary Alexandre Vialatte
164,Andros Town,BS,87.76,few clouds,24.7,-77.7667,Hanks place
171,Rizhao,CN,75.06,moderate rain,35.4275,119.4553,Novotel Rizhao Suning
176,Nago,JP,84.63,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
179,Kralendijk,BQ,85.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
183,Roma,US,86.14,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
189,Bayir,TR,77.52,clear sky,37.2687,28.2167,Hotel Babadag
192,Shingu,JP,77.74,clear sky,33.7333,135.9833,Shingu UI Hotel
196,Montbrison,FR,75.54,broken clouds,45.6667,4.0833,Hostellerie Del Matin Calme Hôtel à Montbrison
201,Sinnamary,GF,80.6,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
204,Kuryk,KZ,78.85,few clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
208,Beneditinos,BR,83.3,scattered clouds,-5.45,-42.3667,"Pousada, Pesque-Pague e Churrascaria Cabo Miguel"
209,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
211,Quanzhou,CN,79.27,clear sky,24.9139,118.5858,Super 8 Hotel Quanzhou new station shop
212,Faanui,PF,78.17,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
213,San Pedro,PH,79.83,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
222,Marti,CU,85.91,scattered clouds,22.9475,-80.9203,Hotel Bibanasí
224,Dwarka,IN,81.93,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
227,Biak,ID,75.11,broken clouds,-0.9131,122.8766,Penginapan Kim
228,Sabang,ID,81.12,light rain,5.8933,95.3214,Hotel Citra
229,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
232,Fukue,JP,77.88,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
236,Auki,SB,82.2,clear sky,-8.7676,160.7034,Auki Motel
238,Padang,ID,77.95,overcast clouds,-0.9492,100.3543,Mercure Padang
242,Asyut,EG,86.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
247,Cockburn Town,TC,78.76,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
250,Caraballeda,VE,87.87,few clouds,10.6112,-66.8522,Ole Caribe
252,Baghdad,IQ,87.71,clear sky,33.3406,44.4009,Baghdad Hotel
268,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
271,Les Cayes,HT,84.09,few clouds,18.2,-73.75,Villa Orphee
272,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
273,Bhandaria,BD,80.67,overcast clouds,22.4861,90.0609,সিকদার বা‌ড়ি
275,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
280,Zhanaozen,KZ,77.4,clear sky,43.3,52.8,K.korabay 28A
282,San Andres,CO,82.42,thunderstorm,12.5847,-81.7006,Hotel Arena Blanca
283,Mathbaria,BD,80.56,light rain,22.2876,89.9593,Shikdar Hotel
284,Nizwa,OM,86.25,overcast clouds,22.9333,57.5333,Orient Apartments
288,Eureka,US,78.67,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
294,Namatanai,PG,79.2,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
295,Sangre Grande,TT,87.76,clear sky,10.5835,-61.1177,Lotus drive
297,Korla,CN,79.52,clear sky,41.7597,86.1469,Gulisitan Hotel
299,Teknaf,BD,78.6,overcast clouds,20.8624,92.3058,Forestry Guesthouse
300,Noumea,NC,78.78,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
302,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
304,Merrill,US,87.57,clear sky,45.1805,-89.6835,Prairie Motel
306,Kutum,SD,81.28,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
310,Kudahuvadhoo,MV,82.44,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
311,Yazman,PK,85.42,overcast clouds,29.1212,71.7446,Jamal sons showroom
312,Ravar,IR,87.85,clear sky,31.2656,56.8055,computertik
314,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
315,Urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
321,Tapel,PH,79.38,few clouds,18.2891,122.0292,Balay Bisita
322,Jacareacanga,BR,84.54,broken clouds,-6.2222,-57.7528,Casa do Ian😎
328,Lorengau,PG,82.42,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
329,Samarai,PG,80.08,scattered clouds,-10.6167,150.6667,Nuli Sapi
331,Vanimo,PG,78.33,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
334,Honolulu,US,84.02,scattered clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
336,Guerrero Negro,MX,76.41,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
337,San Miguel,SV,89.26,scattered clouds,13.4833,-88.1833,Excalibur
340,Tam Ky,VN,75.16,broken clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
341,Artyom,AZ,77.14,clear sky,40.4723,50.333,Pir hos
342,Yaring,TH,76.93,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
347,Montego Bay,JM,76.8,thunderstorm with light rain,18.4712,-77.9188,Sunscape Splash Montego Bay
350,Bushehr,IR,87.89,clear sky,28.9684,50.8385,Yas Hotel
352,Hasaki,JP,79.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
353,Nishihara,JP,85.28,mist,26.1842,127.7558,Minshuku Agaihama
357,Inuvik,CA,77.76,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
359,Sur,OM,86.76,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
361,Natchitoches,US,81.45,broken clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
363,Lompoc,US,87.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
368,Basco,PH,85.1,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
371,Minab,IR,89.47,overcast clouds,27.1467,57.0801,Bam campground
385,Turbat,PK,84.0,overcast clouds,26.0023,63.044,Mubashar Quarters
389,Buchanan,LR,75.6,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
390,Goderich,CA,81.91,clear sky,43.7501,-81.7165,Harmony Inn
392,Kalmunai,LK,78.53,overcast clouds,7.4167,81.8167,VS Villa
395,Mirador,BR,82.08,overcast clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
398,Naze,JP,77.92,scattered clouds,28.3667,129.4833,Shishime Hotel
399,Ambunti,PG,75.27,scattered clouds,-4.2365,142.8448,AMBUNTI HIDE INN
409,Luganville,VU,80.87,broken clouds,-15.5333,167.1667,The Espiritu Hotel
411,Jaffrey,US,89.96,few clouds,42.814,-72.0231,Woodbound Inn
412,Along,IN,75.97,overcast clouds,28.1667,94.7667,Hotel West
416,Atar,MR,88.43,overcast clouds,20.5169,-13.0499,Oumou Elghoura
422,Jalu,LY,78.75,clear sky,29.0331,21.5482,صاحبة الفخامة
436,Dhanwar,IN,79.2,overcast clouds,24.4167,85.9833,K G N HOTEL
438,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
440,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
441,Harper,LR,75.13,broken clouds,4.375,-7.7169,Screensaver
448,Belawan,ID,79.09,broken clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
452,Banos,EC,75.9,broken clouds,-1.4,-78.4167,Samari Spa Resort
456,Pacific Grove,US,86.38,few clouds,36.6177,-121.9166,Lovers Point Inn
458,Vila Franca Do Campo,PT,76.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
459,Progreso,MX,88.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
462,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
466,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
472,Dingle,PH,76.44,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
473,Yanam,IN,77.85,overcast clouds,16.7333,82.2167,The Regency Hotel
474,Barinitas,VE,83.68,overcast clouds,8.7622,-70.4111,Rapsodia EcoTours
477,Salinopolis,BR,78.64,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
478,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
483,Gunjur,GM,77.07,moderate rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
484,Trat,TH,79.92,overcast clouds,12.5,102.5,สวนหนิง-อัศ
492,Fare,PF,77.9,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
494,Belem De Sao Francisco,BR,75.27,broken clouds,-8.7539,-38.9658,Village Hotel
496,Hami,CN,78.6,clear sky,42.8,93.45,Laoyutang Resort
503,Tecoanapa,MX,85.44,overcast clouds,16.5167,-98.75,Hotel Manglares
505,Pangai,TO,77.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
507,Meulaboh,ID,76.82,light rain,4.1363,96.1285,Kost Pria
512,Shihezi,CN,79.72,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
518,Beyneu,KZ,78.66,light rain,45.3167,55.2,NUR
519,Picos,BR,83.05,broken clouds,-7.0769,-41.4669,Entre Rios Hotel
521,Jardim,BR,78.1,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
529,Hobyo,SO,75.76,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
531,Mersing,MY,75.11,few clouds,2.4312,103.8405,Timotel Hotel
534,Labrea,BR,82.08,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
540,Koumac,NC,77.9,overcast clouds,-20.5667,164.2833,Le Monitel
542,Isangel,VU,78.91,moderate rain,-19.55,169.2667,Tanna Lodge
543,Voh,NC,77.2,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
545,Mabaruma,GY,78.71,few clouds,8.2,-59.7833,Monty Brooms Guest House
546,Hirara,JP,82.67,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
548,Matay,EG,84.06,clear sky,28.419,30.7792,Nag Aespen
549,Shelburne,CA,81.23,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
552,Chacaltianguis,MX,89.67,scattered clouds,18.3333,-95.8333,Motel Villa Paraíso
554,Gizo,SB,82.63,light rain,-8.103,156.8419,Imagination Island
555,El Tigre,VE,83.5,scattered clouds,8.8875,-64.2454,Hotel Santa Cruz
562,Bensonville,LR,76.55,broken clouds,6.4461,-10.6125,Moinga
565,Macapa,BR,89.58,few clouds,0.0389,-51.0664,Atalanta Hotel
569,Corinto,GR,78.89,clear sky,37.9407,22.9573,Ephira Hotel
571,Santa Rita,BR,75.87,broken clouds,-7.1139,-34.9781,Infinity Motel
572,Alugan,PH,80.35,overcast clouds,12.2188,125.4808,JM Lodge
573,Colombo,LK,80.55,overcast clouds,6.9319,79.8478,Galle Face Hotel
579,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
580,Botwood,CA,81.9,scattered clouds,49.1499,-55.3482,Exploits Inn & Suites
581,Nantucket,US,87.94,clear sky,41.2835,-70.0995,Jared Coffin House
585,Pachino,IT,81.01,clear sky,36.7186,15.0907,Il Veliero
587,Itarema,BR,79.3,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
595,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
599,Garowe,SO,75.92,broken clouds,8.4054,48.4845,Curubo Hotel
601,Balotra,IN,83.16,overcast clouds,25.8333,72.2333,Hotel City Square
604,Warri,NG,75.27,overcast clouds,5.5167,5.75,GT Guesthouse
605,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
606,Santa Cruz,BO,83.66,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
607,Mongo,TD,78.3,light rain,12.1844,18.693,Résidences du Programme FIDA
610,Road Town,VG,86.09,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
613,Axim,GH,75.24,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
614,Karwar,IN,77.77,light rain,14.8,74.1333,Netalco Connects
617,Pedernales,DO,88.59,broken clouds,18.0384,-71.744,Hotel Costa Marina
622,Tamboril,DO,81.7,broken clouds,19.4854,-70.611,Camp David Ranch Restaurant
623,Rudsar,IR,76.98,clear sky,37.1376,50.288,Hotel Bahar
624,Oriximina,BR,81.55,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
625,Hue,VN,78.91,few clouds,16.4667,107.6,Saigon Morin Hotel
629,Kaduqli,SD,79.95,broken clouds,11.0167,29.7167,Nussyba
631,Luwuk,ID,76.35,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
636,Puerto Baquerizo Moreno,EC,76.19,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
641,Wanning,CN,77.68,clear sky,18.8003,110.3967,Paradise Hotel
645,Santa Quiteria,BR,81.86,scattered clouds,-4.3319,-40.1567,Tahen Hotel
649,Kunjah,PK,86.04,overcast clouds,32.5285,73.9737,Ali BaBa
651,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
656,Awbari,LY,82.08,clear sky,26.5921,12.7805,فندق أوباري
657,Marsh Harbour,BS,83.86,clear sky,26.5412,-77.0636,Abaco Beach Resort
660,Cabangahan,PH,78.58,light rain,9.0781,122.9469,Centralle District Beach Resort
663,Touros,BR,75.88,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
